12
AAPL, Apple, 3, 10, 3, 3
MSFT, Microsoft, 3, 5, 3, 3
DELL, Dell, 3, 10, 3, 3
ADBE, Adobe, 3, 10, 3, 3
FB, Facebook, 3, 10, 3, 3
BABA, Alibaba, 3, 10, 3, 3
WUBA, Adobe, 3, 10, 3, 3
RUBI, Rubicon Project, 3, 10, 3, 3
T, AT&T, 3, 10, 3, 3
FTV, Fortive Corp, 5, 30, 2, 5
HPQ, HP Inc., 8, 12, 4, 6
SPY, S&P 500, 5, 10, 3, 3
